Unnamed: 0,match_number,name,start_date,matchtype,series_id,match_detail_id,scorecard_id,title,runs,over,run_rate,match_id,opp_team_id,team_id
3537,3.0,Hobart Hurricanes v Melbourne Renegades,2017-12-21 14:10:00+00:00,t20,245,2098,3603,Melbourne Renegades Innings,165,18.3,8.91,1703,40,38
5431,2.0,England v Australia,2015-07-16 05:30:00+00:00,test,460,3345,5491,Australia 1st Innings,566,149.0,3.79,2561,5,1
869,2.0,Australia v West Indies,2013-02-03 05:50:00+00:00,odi,122,2724,978,West Indies Innings,212,38.1,5.55,423,1,3
5024,5.0,South Africa v West Indies,2015-01-28 08:00:00+00:00,odi,412,3042,5084,South Africa Innings,361,42.0,8.59,2368,3,6
5591,2.0,England v Pakistan,2016-08-27 05:00:00+00:00,odi,472,3528,5649,England Innings,255,47.3,5.36,2610,9,5
1596,3.0,India v Australia,2007-10-05 03:30:00+00:00,odi,204,859,1666,India Innings,243,47.4,5.09,719,1,2
3900,0.0,Adelaide Strikers v Melbourne Stars,2020-01-22 13:10:00+00:00,t20,247,2280,3966,Melbourne Stars Innings,151,20.0,7.55,1885,37,35
3734,0.0,Perth Scorchers v Sydney Sixers,2019-12-26 10:40:00+00:00,t20,247,2197,3800,Sydney Sixers Innings,174,20.0,8.7,1802,39,33
1163,0.0,England v Australia,2018-06-27 13:00:00+00:00,t20,152,3710,1226,Australia Innings,193,19.4,9.81,548,5,1
6067,,Melbourne Renegades v Perth Scorchers,2020-12-12 13:45:00+00:00,t20,505,3980,6095,Perth Scorchers Innings,130,19.1,6.78,2849,38,39
4220,1.0,Australia v New Zealand,2009-02-01 08:00:00+00:00,odi,291,2456,4285,Australia Innings,181,48.4,3.71,1991,4,1
93,2.0,England v India,2014-07-17 05:30:00+00:00,test,11,4307,94,England 1st Innings,319,105.5,3.01,27,2,5
4756,3.0,West Indies v Australia,2008-06-29 04:00:00+00:00,odi,338,2844,4824,West Indies Innings,223,48.0,4.64,2270,1,3
3824,41.0,Perth Scorchers v Sydney Thunder,2019-01-24 13:10:00+00:00,t20,248,2242,3890,Perth Scorchers Innings,181,20.0,9.05,1847,36,39
2760,42.0,Deccan Chargers v Kolkata Knight Riders,2011-05-03 14:30:00+00:00,t20,236,1705,2826,Deccan Chargers Innings,149,20.0,7.45,1310,24,31
5829,45.0,Delhi Daredevils v Sunrisers Hyderabad,2015-05-09 14:30:00+00:00,t20,502,3750,5878,Delhi Daredevils Innings,157,20.0,7.85,2729,23,22
3047,16.0,Chennai Super Kings v Deccan Chargers,2009-04-27 07:00:00+00:00,t20,238,1850,3113,Chennai Super Kings Innings,165,20.0,8.25,1455,31,20
3225,0.0,Brisbane Heat v Hobart Hurricanes,2012-01-06 13:00:00+00:00,t20,240,1942,3291,Brisbane Heat Innings,201,20.0,10.05,1547,40,34
2595,53.0,Deccan Chargers v Kings XI Punjab,2012-05-08 14:30:00+00:00,t20,235,1620,2660,Kings XI Punjab Innings,170,20.0,8.5,1225,31,25
4434,1.0,New Zealand v Pakistan,2010-12-26 08:30:00+00:00,t20,325,2600,4509,Pakistan Innings,143,20.0,7.15,2105,4,9
1384,1.0,South Africa v India,2010-12-16 04:30:00+00:00,test,180,734,1463,India 1st Innings,136,38.4,3.51,624,6,2
2624,38.0,Kolkata Knight Riders v Royal Challengers Bangalore,2012-04-28 14:30:00+00:00,t20,235,1635,2690,Kolkata Knight Riders Innings,190,20.0,9.5,1240,26,24
5304,1.0,England v Bangladesh,2010-07-08 09:00:00+00:00,odi,445,3243,5365,England Innings,251,45.1,5.55,2500,7,5
2941,10.0,Royal Challengers Bangalore v Rajasthan Royals,2010-03-18 14:30:00+00:00,t20,237,1797,3007,Rajasthan Royals Innings,92,19.5,4.63,1402,26,27
3712,7.0,Hobart Hurricanes v Melbourne Stars,2018-12-24 10:15:00+00:00,t20,248,2186,3778,Melbourne Stars Innings,155,20.0,7.75,1791,40,35
3499,0.0,Hobart Hurricanes v Melbourne Renegades,2015-01-07 13:40:00+00:00,t20,244,2079,3565,Hobart Hurricanes Innings,126,19.2,6.51,1684,38,40
5481,14.0,England v Scotland,2015-02-23 05:30:00+00:00,odi,63,3492,5503,Scotland Innings,184,42.2,4.34,2564,5,15
5229,21.0,West Indies v Ireland,2007-03-23 04:00:00+00:00,odi,198,3204,5292,West Indies Innings,190,38.1,4.97,2463,11,3
557,2.0,Australia v India,2015-03-26 09:00:00+00:00,odi,63,4543,624,Australia Innings,328,50.0,6.56,245,2,1
2675,11.0,Delhi Daredevils v Chennai Super Kings,2012-04-10 14:30:00+00:00,t20,235,1662,2741,Delhi Daredevils Innings,111,13.2,8.32,1267,20,22
1970,44.0,Kings XI Punjab v Kolkata Knight Riders,2018-05-12 10:30:00+00:00,t20,230,1297,2027,Kings XI Punjab Innings,214,20.0,10.7,902,24,25
